aba aba
abacı  aba-'dZ@
çalışkanlığımız  tSa-l@S-kan-l@-G@-'m@z
çalışmalarınına  tSa-l@S-ma-la-r@-n@-'na
çalışmışsın  tSa-l@S-m@S-'s@n
çalıştıranı  tSa-l@S-t@-ra-'n@
çalıştırılmaksızın  tSa-l@S-t@-r@l-mak-s@-'z@n
çalıştırılmayınca  tSa-l@S-t@-r@l-ma-Z@n-'dZa
çalmayabilir  tSal-ma-Za-bI-'lIr
çamaşırhanesini  tSa-ma-S@r-ha-ne-sI-'nI
çamaşırlarımda  tSa-ma-S@r-la-r@m-'da
çamurcuda  tSa-mur-dZu-'da
çamurlanıyor  tSa-mur-la-n@-'Zor
çansızı  tSan-s@-'z@
çantacısı  tSan-ta-dZ@-'s@
çantalarınızla  tSan-ta-la-r@-n@z-'la
çaresizliğine  tSa-re-sIz-lI-GI-'ne
çaresizliklerimizi  tSa-re-sIz-lIk-le-rI-mI-'zI
çarmıhın  tSar-m@-'h@n
çarpacağız  tSar-pa-dZa-'G@z
çarpılmaya  tSar-p@l-ma-'Za
çarpındı  tSar-p@n-'d@
çarpıştıracak  tSar-p@S-t@-ra-'dZak
çarpıtmalarda  tSar-p@t-ma-lar-'da
çarptırabilecek  tSarp-t@-ra-bI-le-'dZek
çarptırılıyorduk  tSarp-t@-r@-l@-Zor-'duk
çarptırılmasının  tSarp-t@-r@l-ma-s@-'n@n
çarptırmaya  tSarp-t@r-ma-'Za
çarşıydı  tSar-S@Z-'d@
çatılmıyor  tSa-t@l-m@-'Zor
çatırcı  tSa-t@r-'dZ@
çatırdatma  tSa-t@r-dat-'ma
çatırdayacakmış  tSa-t@r-da-Za-dZak-'m@S
çatışırdı  tSa-t@-S@r-'d@
çatışmadayken  tSa-t@S-ma-daZ-'ken
çatlayacakken  tSat-la-Za-dZak-'ken
çatmakla  tSat-mak-'la
çaydasınız  tSaZ-da-s@-'n@z
çayhanelerine  tSaZ-ha-ne-le-rI-'ne
çayları  tSaZ-la-'r@
çekebilecekler  tSe-ke-bI-le-dZek-'ler
çekegelmiş  tSe-ke-gel-'mIS
çekendir  tSe-ken-'dIr
çekiçli  tSe-kItS-'lI
çekilebilmesinde  tSe-kI-le-bIl-me-sIn-'de
çekilende  tSe-kI-len-'de
çekilinebilecek  tSe-kI-lI-ne-bI-le-'dZek
çekilinmiyor  tSe-kI-lIn-mI-'Zor
çekiliyorum  tSe-kI-lI-Zo-'rum
çekilmeliyiz  tSe-kIl-me-lI-'ZIz
çekilmeye  tSe-kIl-me-'Ze
çekilmeyin  tSe-kIl-me-'ZIn
çekincelerden  tSe-kIn-dZe-ler-'den
çekincelerinize  tSe-kIn-dZe-le-rI-nI-'ze
çekindiğini  tSe-kIn-dI-GI-'nI
çekinilmeyecektir  tSe-kI-nIl-me-Ze-dZek-'tIr
çekinmeyenlerle  tSe-kIn-me-Zen-ler-'le
çekintisi  tSe-kIn-tI-'sI
çekirdeğimiz  tSe-kIr-de-GI-'mIz
çekirdekliler  tSe-kIr-dek-lI-'ler
çekirdeklisindeki  tSe-kIr-dek-lI-sIn-de-'kI
çekirgesine  tSe-kIr-ge-sI-'ne
çekişmesinin  tSe-kIS-me-sI-'nIn
çekiştim  tSe-kIS-'tIm
çekiştirilmesi  tSe-kIS-tI-rIl-me-'sI
çekiştirmeyin  tSe-kIS-tIr-me-'ZIn
çekivermişler  tSe-kI-ver-mIS-'ler
çekmecedeki  tSek-me-dZe-de-'kI
çekmecesindeki  tSek-me-dZe-sIn-de-'kI
çekmekteki  tSek-mek-te-'kI
çektiğimizde  tSek-tI-GI-mIz-'de
çektirdiğimi  tSek-tIr-dI-GI-'mI
çektirileceğin  tSek-tI-rI-le-dZe-'GIn
çektirmemizi  tSek-tIr-me-mI-'zI
çektirmeyeceklerini  tSek-tIr-me-Ze-dZek-le-rI-'nI
çelinmekte  tSe-lIn-mek-'te
çelişeceğimiz  tSe-lI-Se-dZe-GI-'mIz
çelişme  tSe-lIS-'me
çembaloda  tSem-ba-lo-'da
çemberimle  tSem-be-rIm-'le
çemberleyen  tSem-ber-le-'Zen
çemendir  tSe-men-'dIr
çemkiremeyecek  tSem-kI-re-me-Ze-'dZek
çenemde  tSe-nem-'de
çeneni  tSe-ne-'nI
çengellenmesini  tSen-gel-len-me-sI-'nI
çengellerime  tSen-gel-le-rI-'me
çentikli  tSen-tIk-'lI
çeperin  tSe-pe-'rIn
çerçeveletme  tSer-tSe-ve-let-'me
çeşitlendirecekleri  tSe-SIt-len-dI-re-dZek-le-'rI
çeşitlendirmelerini  tSe-SIt-len-dIr-me-le-rI-'nI
çeşitlenmekten  tSe-SIt-len-mek-'ten
çeşitlensin  tSe-SIt-len-'sIn
çeşitleri  tSe-SIt-le-'rI
çeşitliliğimize  tSe-SIt-lI-lI-GI-mI-'ze
çeşmemizdir  tSeS-me-mIz-'dIr
çetelem  tSe-te-'lem
çetinin  tSe-tI-'nIn
çetrefiline  tSet-re-fI-lI-'ne
çevikle  tSe-vIk-'le
çeviremiyor  tSe-vI-re-mI-'Zor
çeviremiyoruz  tSe-vI-re-mI-Zo-'ruz
çevirimize  tSe-vI-rI-mI-'ze
çevirmekteki  tSe-vIr-mek-te-'kI
çevirmelere  tSe-vIr-me-le-'re
çevirmenlerde  tSe-vIr-men-ler-'de
çevirmenliğinize  tSe-vIr-men-lI-GI-nI-'ze
çevrendekilerle  tSev-ren-de-kI-ler-'le
çevrenizce  tSev-re-nIz-'dZe
çevrenizdekiler  tSev-re-nIz-de-kI-'ler
çevrilebilinir  tSev-rI-le-bI-lI-'nIr
çevrilmemek  tSev-rIl-me-'mek
çevrilmemesinden  tSev-rIl-me-me-sIn-'den
çevrilmeyeceğinin  tSev-rIl-me-Ze-dZe-GI-'nIn
çevrilmiyorlar  tSev-rIl-mI-Zor-'lar
çığlığımıza  tS@G-l@-G@-m@-'za
çıkabileceksem  tS@-ka-bI-le-dZek-'sem
çıkabilseler  tS@-ka-bIl-se-'ler
çıkamayacaklarından  tS@-ka-ma-Za-dZak-la-r@n-'dan
çıkamıyordunuz  tS@-ka-m@-Zor-du-'nuz
çıkarabilmesindeki  tS@-ka-ra-bIl-me-sIn-de-'kI
çıkaramadığına  tS@-ka-ra-ma-d@-G@-'na
çıkaramamasında  tS@-ka-ra-ma-ma-s@n-'da
çıkaramayalım  tS@-ka-ra-ma-Za-'l@m
çıkaranını  tS@-ka-ra-n@-'n@
çıkardığınızın  tS@-kar-d@-G@-n@-'z@n
çıkardıkları  tS@-kar-d@k-la-'r@
çıkardıklarınızla  tS@-kar-d@k-la-r@-n@z-'la
çıkarılabilmem  tS@-ka-r@-la-bIl-'mem
çıkarılacaklara  tS@-ka-r@-la-dZak-la-'ra
çıkarılmamışsa  tS@-ka-r@l-ma-m@S-'sa
çıkarmalardan  tS@-kar-ma-lar-'dan
çıkarmayışını  tS@-kar-ma-Z@-S@-'n@
çıkartamamışlardır  tS@-kar-ta-ma-m@S-lar-'d@r
çıkartılacakların  tS@-kar-t@-la-dZak-la-'r@n
çıkarttırmaktan  tS@-kart-t@r-mak-'tan
çıkılamayacak  tS@-k@-la-ma-Za-'dZak
çıkınınızda  tS@-k@-n@-n@z-'da
çıkıntılarımız  tS@-k@n-t@-la-r@-'m@z
çıkıyorsak  tS@-k@-Zor-'sak
çıkmaksızın  tS@k-mak-s@-'z@n
çıkmasaydınız  tS@k-ma-saZ-d@-'n@z
çıkmışlarda  tS@k-m@S-lar-'da
çıkmıştılar  tS@k-m@S-t@-'lar
çıktısıyla  tS@k-t@-s@Z-'la
çıldırdırttı  tS@l-d@r-d@rt-'t@
çıldırma  tS@l-d@r-'ma
çıngarlaşırlardı  tS@n-gar-la-S@r-lar-'d@
çırağının  tS@-ra-G@-'n@n
çıraklıktan  tS@-rak-l@k-'tan
çırpılma  tS@r-p@l-'ma
çırpınışının  tS@r-p@-n@-S@-'n@n
çırpıyordum  tS@r-p@-Zor-'dum
çıtı  tS@-'t@
çıtkırıldımlıktan  tS@t-k@-r@l-d@m-l@k-'tan
çıtlatmayı  tS@t-lat-ma-'Z@
çiçekçileri  tSI-tSek-tSI-le-'rI
çiçeklendirilmiyor  tSI-tSek-len-dI-rIl-mI-'Zor
çiftleşemez  tSIft-le-Se-'mez
çiftleştirdi  tSIft-leS-tIr-'dI
çiftleştirilmekten  tSIft-leS-tI-rIl-mek-'ten
çiftleştirmemeye  tSIft-leS-tIr-me-me-'Ze
çiftliklerdir  tSIft-lIk-ler-'dIr
çiftliklerimize  tSIft-lIk-le-rI-mI-'ze
çifttekerli  tSIft-te-ker-'lI
çiğliğini  tSIG-lI-GI-'nI
çiğnetmeden  tSIG-net-me-'den
çileğiydi  tSI-le-GIZ-'dI
çilekçilik  tSI-lek-tSI-'lIk
çilemse  tSI-lem-'se
çilenle  tSI-len-'le
çimdikler  tSIm-dIk-'ler
çimenlerinde  tSI-men-le-rIn-'de
çimlendirildi  tSIm-len-dI-rIl-'dI
çinakopların  tSI-na-kop-la-'r@n
çipuralardan  tSI-pu-ra-lar-'dan
çirkinleşmemesinin  tSIr-kIn-leS-me-me-sI-'nIn
çitalar  tSI-ta-'lar
çitçiler  tSIt-tSI-'ler
çitçilik  tSIt-tSI-'lIk
çitilediği  tSI-tI-le-dI-'GI
çitledik  tSIt-le-'dIk
çitletenler  tSIt-le-ten-'ler
çivilenmeseydi  tSI-vI-len-me-seZ-'dI
çiviletti  tSI-vI-let-'tI
çivit  tSI-'vIt
çizerler  tSI-zer-'ler
çizerlere  tSI-zer-le-'re
çizersek  tSI-zer-'sek
çizgidir  tSIz-gI-'dIr
çizgiymiş  tSIz-gIZ-'mIS
çizilemediği  tSI-zI-le-me-dI-'GI
çizimizde  tSI-zI-mIz-'de
çizimlere  tSI-zIm-le-'re
çiziyim  tSI-zI-'ZIm
çiziyorlar  tSI-zI-Zor-'lar
çiziyorlarmış  tSI-zI-Zor-lar-'m@S
çizmemesine  tSIz-me-me-sI-'ne
çizmemizde  tSIz-me-mIz-'de
çizmiyorum  tSIz-mI-Zo-'rum
çizsinler  tSIz-sIn-'ler
çobancılığı  tSo-ban-dZ@-l@-'G@
çocuğunla  tSo-dZu-Gun-'la
çocukcağızlardan  tSo-dZuk-dZa-G@z-lar-'dan
çocuklarınınsa  tSo-dZuk-la-r@-n@n-'sa
çocuklaştırıcı  tSo-dZuk-laS-t@-r@-'dZ@
çoğalmazsa  tSo-Gal-maz-'sa
çoğaltıcılar  tSo-Gal-t@-dZ@-'lar
çoğulcuğuna  tSo-Gul-dZu-Gu-'na
çokbilmişliğe  tSok-bIl-mIS-lI-'Ge
çokbilmişliğimi  tSok-bIl-mIS-lI-GI-'mI
çokluktayken  tSok-luk-taZ-'ken
çoksatanları  tSok-sa-tan-la-'r@
çopur  tSo-'pur
çoraplardı  tSo-rap-lar-'d@
çorbamızın  tSor-ba-m@-'z@n
çorbasındaki  tSor-ba-s@n-da-'kI
çormanlar  tSor-man-'lar
çökertebileceğine  tS@'-ker-te-bI-le-dZe-GI-'ne
çökertilebildi  tS@'-ker-tI-le-bIl-'dI
çökmüyordu  tS@'k-mZ-Zor-'du
çöküntüye  tS@'-kZn-tZ-'Ze
çölleşme  tS@'l-leS-'me
çömlekçiliğini  tS@'m-lek-tSI-lI-GI-'nI
çömüp  tS@'-'mZp
çözemeyeceğim  tS@'-ze-me-Ze-dZe-'GIm
çözemeyecekleri  tS@'-ze-me-Ze-dZek-le-'rI
çözmesineyse  tS@'z-me-sI-neZ-'se
çözüldüyse  tS@'-zZl-dZZ-'se
çözümlemediği  tS@'-zZm-le-me-dI-'GI
çözümlenme  tS@'-zZm-len-'me
çözümlenmediğinin  tS@'-zZm-len-me-dI-GI-'nIn
çözümleriyse  tS@'-zZm-le-rIZ-'se
çözümsüzlüğünün  tS@'-zZm-sZz-lZ-GZ-'nZn
çubukluydu  tSu-buk-luZ-'du
çubukluyu  tSu-buk-lu-'Zu
çukurdan  tSu-kur-'dan
çukurlu  tSu-kur-'lu
çukurundayız  tSu-ku-run-da-'Z@z
çullandığında  tSul-lan-d@-G@n-'da
çürüklerdir  tSZ-rZk-ler-'dIr
çürümüşlükten  tSZ-rZ-mZS-lZk-'ten
çürütülüp  tSZ-rZ-tZ-'lZp
dadandırdığımı  da-dan-d@r-d@-G@-'m@
dadaşım  da-da-'S@m
dağcı  daG-'dZ@
dağcılarımızı  daG-dZ@-la-r@-m@-'z@
dağılabilirler  da-G@-la-bI-lIr-'ler
dağılımlarına  da-G@-l@m-la-r@-'na
dağılıyorsun  da-G@-l@-Zor-'sun
dağıtıcı  da-G@-t@-'dZ@
dağıtılacağıyla  da-G@-t@-la-dZa-G@Z-'la
dağıtıldığını  da-G@-t@l-d@-G@-'n@
dağıtıldıysa  da-G@-t@l-d@Z-'sa
dağıtımcınız  da-G@-t@m-dZ@-'n@z
dağıtımcısına  da-G@-t@m-dZ@-s@-'na
dağıtmasıyla  da-G@t-ma-s@Z-'la
dağlıktır  daG-l@k-'t@r
daimileşecek  da-I-mI-le-Se-'dZek
dair 'da-Ir functional
dakikanın  da-kI-ka-'n@n
dakikanızı  da-kI-ka-n@-'z@
dakikayı  da-kI-ka-'Z@
dakiklikmiş  da-kIk-lIk-'mIS
daktilosuyla  dak-tI-lo-suZ-'la
dalacaklardı  da-la-dZak-lar-'d@
dalaşabilir  da-la-Sa-bI-'lIr
dalaşlarını  da-laS-la-r@-'n@
dalavereler  da-la-ve-re-'ler
dalavereye  da-la-ve-re-'Ze
dalcıyı  dal-dZ@-'Z@
daldığınızı  dal-d@-G@-n@-'z@
daldırılan  dal-d@-r@-'lan
dalgacısın  dal-ga-dZ@-'s@n
dalgalanacağını  dal-ga-la-na-dZa-G@-'n@
dalgalanmazsa  dal-ga-lan-maz-'sa
dalgınımdır  dal-g@-n@m-'d@r
dalgınlıktandır  dal-g@n-l@k-tan-'d@r
dalınmış  da-l@n-'m@S
dallamaya  dal-la-ma-'Za
dalmadığı  dal-ma-d@-'G@
dalmaktadırlar  dal-mak-ta-d@r-'lar
dalmayacağına  dal-ma-Za-dZa-G@-'na
dalmışlarsa  dal-m@S-lar-'sa
daltabana  dal-ta-ba-'na
dalyanını  dal-Za-n@-'n@
damardaki  da-mar-da-'kI
damgaladığı  dam-ga-la-d@-'G@
damgalamanın  dam-ga-la-ma-'n@n
damıttığını  da-m@t-t@-G@-'n@
damlatamadığım  dam-la-ta-ma-d@-'G@m
damlatmaya  dam-lat-ma-'Za
danelerde  da-ne-ler-'de
danışana  da-n@-Sa-'na
danışmadık  da-n@S-ma-'d@k
danışmadıkları  da-n@S-ma-d@k-la-'r@
daraldıkça  da-ral-d@k-'tSa
daralmaları  da-ral-ma-la-'r@
daraltabildiğine  da-ral-ta-bIl-dI-GI-'ne
daraltınca  da-ral-t@n-'dZa
daraltırım  da-ral-t@-'r@m
darbeye  dar-be-'Ze
dargınlıklarıyla  dar-g@n-l@k-la-r@Z-'la
darphanede  darp-ha-ne-'de
darptan  darp-'tan
darülacezeler  da-rZ-la-dZe-ze-'ler
dasın  da-'s@n
davalıklar  da-va-l@k-'lar
davarıma  da-va-r@-'ma
davarlık  da-var-'l@k
davayı  da-va-'Z@
davetim  da-ve-'tIm
davetler  da-vet-'ler
davrananlarımızın  dav-ra-nan-la-r@-m@-'z@n
davranıyorsun  dav-ra-n@-Zor-'sun
davranmadığıdır  dav-ran-ma-d@-G@-'d@r
davranmadığınız  dav-ran-ma-d@-G@-'n@z
davranmayayım  dav-ran-ma-Za-'Z@m
davransan  dav-ran-'san
davulcularımızın  da-vul-dZu-la-r@-m@-'z@n
dayanabilirim  da-Za-na-bI-lI-'rIm
dayandırırsa  da-Zan-d@-r@r-'sa
dayanıklılıkları  da-Za-n@k-l@-l@k-la-'r@
dayanırdım  da-Za-n@r-'d@m
dayanırsın  da-Za-n@r-'s@n
dayanışmalar  da-Za-n@S-ma-'lar
dayatılmalıydı  da-Za-t@l-ma-l@Z-'d@
dayatmıyorlar  da-Zat-m@-Zor-'lar
dazlakları  daz-lak-la-'r@
debeleneduralım  de-be-le-ne-du-ra-'l@m
debelenmeden  de-be-len-me-'den
debelenmeyle  de-be-len-meZ-'le
debelense  de-be-len-'se
dedektifiz  de-dek-tI-'fIz
dedektörüne  de-dek-t@'-rZ-'ne
dedikoducuyum  de-dI-ko-du-dZu-'Zum
dedikodularıyla  de-dI-ko-du-la-r@Z-'la
dedirtenlerin  de-dIr-ten-le-'rIn
defetmeye  de-fet-me-'Ze
defilesinin  de-fI-le-sI-'nIn
deflerin  def-le-'rIn
defnetmede  def-net-me-'de
defnetmeyin  def-net-me-'ZIn
defoluydu  de-fo-luZ-'du
defterdarıyla  def-ter-da-r@Z-'la
değdireceksin  deG-dI-re-dZek-'sIn
değeceği  de-Ge-dZe-'GI
değerince  de-Ge-rIn-'dZe
değerlendireceklerinin  de-Ger-len-dI-re-dZek-le-rI-'nIn
değerlendiremeyebileceğiniz  de-Ger-len-dI-re-me-Ze-bI-le-dZe-GI-'nIz
değerlendirilebileceğimiz  de-Ger-len-dI-rI-le-bI-le-dZe-GI-'mIz
değerlendirmeyince  de-Ger-len-dIr-me-ZIn-'dZe
değerlenmemesini  de-Ger-len-me-me-sI-'nI
değerlerinizi  de-Ger-le-rI-nI-'zI
değerleyip  de-Ger-le-'ZIp
değerlilikten  de-Ger-lI-lIk-'ten
değersizleştirmedir  de-Ger-sIz-leS-tIr-me-'dIr
değin de-'GIn functional
değinmememden  de-GIn-me-mem-'den
değinmeyecek  de-GIn-me-Ze-'dZek
değişikliğimin  de-GI-SIk-lI-GI-'mIn
değişilik  de-GI-SI-'lIk
değişimimi  de-GI-SI-mI-'mI
değişimleri  de-GI-SIm-le-'rI
değişkenlik  de-GIS-ken-'lIk
değişkenlikleri  de-GIS-ken-lIk-le-'rI
değiştikçe  de-GIS-tIk-'tSe
değiştireceğe  de-GIS-tI-re-dZe-'Ge
değiştirilebileceğini  de-GIS-tI-rI-le-bI-le-dZe-GI-'nI
değiştirilmişcesine  de-GIS-tI-rIl-mIS-dZe-sI-'ne
değiştirmemişler  de-GIS-tIr-me-mIS-'ler
değiştirmemse  de-GIS-tIr-mem-'se
değiştirtmiş  de-GIS-tIrt-'mIS
değmeze  deG-me-'ze
değmişcesine  deG-mIS-dZe-sI-'ne
değneğimi  deG-ne-GI-'mI
dehaymış  de-haZ-'m@S
dehşetlerden  deh-Set-ler-'den
dekontla  de-kont-'la
deldirip  del-dI-'rIp
deldirmekten  del-dIr-mek-'ten
delebilmektedir  de-le-bIl-mek-te-'dIr
deliğe  de-lI-'Ge
delikanlısıydı  de-lI-kan-l@-s@Z-'d@
deliklerde  de-lIk-ler-'de
delillendireceğiz  de-lIl-len-dI-re-dZe-'GIz
delillendirildi  de-lIl-len-dI-rIl-'dI
delilsiz  de-lIl-'sIz
delirdiğinde  de-lIr-dI-GIn-'de
delirtebiliyordu  de-lIr-te-bI-lI-Zor-'du
demecidir  de-me-dZI-'dIr
demeden  de-me-'den
dememizdi  de-me-mIz-'dI
demesem  de-me-'sem
demetler  de-met-'ler
demeyen  de-me-'Zen
demirlemiş  de-mIr-le-'mIS
demirlerle  de-mIr-ler-'le
demişlermiş  de-mIS-ler-'mIS
demlendirenler  dem-len-dI-ren-'ler
demleniyorum  dem-le-nI-Zo-'rum
demliğine  dem-lI-GI-'ne
demokratiğiz  de-mok-ra-tI-'GIz
demokratikleşirmiş  de-mok-ra-tIk-le-SIr-'mIS
demokratikleştireceğini  de-mok-ra-tIk-leS-tI-re-dZe-GI-'nI
demokratikleştirilmemiş  de-mok-ra-tIk-leS-tI-rIl-me-'mIS
denebiliyordu  de-ne-bI-lI-Zor-'du
deneli  de-ne-'lI
denemeli  de-ne-me-'lI
denenmeyeceğini  de-nen-me-Ze-dZe-GI-'nI
deneseydiniz  de-ne-seZ-dI-'nIz
denetiminine  de-ne-tI-mI-nI-'ne
denetlemeleri  de-net-le-me-le-'rI
denetleneceğiyle  de-net-le-ne-dZe-GIZ-'le
denetleyebilmekteyizdir  de-net-le-Ze-bIl-mek-te-ZIz-'dIr
denetleyebilmeli  de-net-le-Ze-bIl-me-'lI
denetleyeceklerine  de-net-le-Ze-dZek-le-rI-'ne
denetleyememekten  de-net-le-Ze-me-mek-'ten
denetleyemezler  de-net-le-Ze-mez-'ler
denetleyicisinin  de-net-le-ZI-dZI-sI-'nIn
denetliyordur  de-net-lI-Zor-'dur
denetmeninin  de-net-me-nI-'nIn
denetmeyi  de-net-me-'ZI
deneyebileceksiniz  de-ne-Ze-bI-le-dZek-sI-'nIz
deneyimlediklerimizin  de-ne-ZIm-le-dIk-le-rI-mI-'zIn
deneyimlemelidir  de-ne-ZIm-le-me-lI-'dIr
deneylerimde  de-neZ-le-rIm-'de
dengelerden  den-ge-ler-'den
dengeleyemezdik  den-ge-le-Ze-mez-'dIk
dengeliyorsunuzdur  den-ge-lI-Zor-su-nuz-'dur
dengesizdiler  den-ge-sIz-dI-'ler
denildiğinden  de-nIl-dI-GIn-'den
denizdeydim  de-nIz-deZ-'dIm
denizinin  de-nI-zI-'nIn
denklemlidir  denk-lem-lI-'dIr
denli 'den-lI functional
denmelidir  den-me-lI-'dIr
denmemiş  den-me-'mIS
denyosun  den-Zo-'sun
deparla  de-par-'la
depolamalarla  de-po-la-ma-lar-'la
depolamayan  de-po-la-ma-'Zan
depom  de-'pom
derbilerim  der-bI-le-'rIm
derebilir  de-re-bI-'lIr
derecelerime  de-re-dZe-le-rI-'me
derecelerinizi  de-re-dZe-le-rI-nI-'zI
derecemin  de-re-dZe-'mIn
dergahımızda  der-ga-h@-m@z-'da
dergimizi  der-gI-mI-'zI
derinlerle  de-rIn-ler-'le
derinleşmektedir  de-rIn-leS-mek-te-'dIr
derinleştirdiğimiz  de-rIn-leS-tIr-dI-GI-'mIz
derinleştirmiştir  de-rIn-leS-tIr-mIS-'tIr
dermatologlar  der-ma-to-log-'lar
dershanelerimi  ders-ha-ne-le-rI-'mI
dertlendiğini  dert-len-dI-GI-'nI
dertlenemiyorsun  dert-le-ne-mI-Zor-'sun
dertlenerek  dert-le-ne-'rek
deryalıktan  der-Za-l@k-'tan
deseydiniz  de-seZ-dI-'nIz
destekçimizdir  des-tek-tSI-mIz-'dIr
destekçisiyse  des-tek-tSI-sIZ-'se
desteklediklerinden  des-tek-le-dIk-le-rIn-'den
desteklememe  des-tek-le-me-'me
desteklemeyi  des-tek-le-me-'ZI
desteklenebilmesi  des-tek-le-ne-bIl-me-'sI
destekleniyoruz  des-tek-le-nI-Zo-'ruz
desteklenmelerine  des-tek-len-me-le-rI-'ne
desteklenmişleri  des-tek-len-mIS-le-'rI
desteklerkenki  des-tek-ler-ken-'kI
destekleyecekmişim  des-tek-le-Ze-dZek-mI-'SIm
destekleyemeyeceklerini  des-tek-le-Ze-me-Ze-dZek-le-rI-'nI
destekliğiniz  des-tek-lI-GI-'nIz
deşifresinden  de-SIf-re-sIn-'den
detaylardaki  de-taZ-lar-da-'kI
deterjanda  de-ter-Zan-'da
deterjanlarken  de-ter-Zan-lar-'ken
deveniz  de-ve-'nIz
devimizin  de-vI-mI-'zIn
devinmeler  de-vIn-me-'ler
devirmelerimiz  de-vIr-me-le-rI-'mIz
devirmişsin  de-vIr-mIS-'sIn
devletçidir  dev-let-tSI-'dIr
devletçiyseniz  dev-let-tSIZ-se-'nIz
devletleri  dev-let-le-'rI
devletleştirmiş  dev-let-leS-tIr-'mIS
devlettedir  dev-let-te-'dIr
devralacaksa  dev-ra-la-dZak-'sa
devralmaktadır  dev-ral-mak-ta-'d@r
devralmalarıyla  dev-ral-ma-la-r@Z-'la
devretmekle  dev-ret-mek-'le
devrildikten  dev-rIl-dIk-'ten
devrileceğini  dev-rI-le-dZe-GI-'nI
devrimcilerce  dev-rIm-dZI-ler-'dZe
devrimciydim  dev-rIm-dZIZ-'dIm
devrimlerinizin  dev-rIm-le-rI-nI-'zIn
devrimleriydi  dev-rIm-le-rIZ-'dI
devriyelerinde  dev-rI-Ze-le-rIn-'de
devriyesi  dev-rI-Ze-'sI
devrolacak  dev-ro-la-'dZak
devşirilenleriyle  dev-SI-rI-len-le-rIZ-'le
devşirilmesiyle  dev-SI-rIl-me-sIZ-'le
deyişimizin  de-ZI-SI-mI-'zIn
dezenformasyonudur  de-zen-for-mas-Zo-nu-'dur
dışılığıyla  d@-S@-l@-G@Z-'la
dışılıktı  d@-S@-l@k-'t@
dışlaştıramazlar  d@S-laS-t@-ra-maz-'lar
diasporalarından  dI-as-po-ra-la-r@n-'dan
didindim  dI-dIn-'dIm
didişirler  dI-dI-SIr-'ler
didişmediğim  dI-dIS-me-dI-'GIm
didişmesini  dI-dIS-me-sI-'nI
diğerinden  dI-Ge-rIn-'den
diğerlerindedir  dI-Ger-le-rIn-de-'dIr
diğerlerininkiyle  dI-Ger-le-rI-nIn-kIZ-'le
dijitalleşerek  dI-ZI-tal-le-Se-'rek
dikdörtgenin  dIk-d@'rt-ge-'nIn
dikeceğine  dI-ke-dZe-GI-'ne
dikeli  dI-ke-'lI
dikilenlerdenim  dI-kI-len-ler-de-'nIm
dikilmekteydim  dI-kIl-mek-teZ-'dIm
dikişlerinden  dI-kIS-le-rIn-'den
dikkatinin  dIk-ka-tI-'nIn
dikkatliliğini  dIk-kat-lI-lI-GI-'nI
dikkatliyimdir  dIk-kat-lI-ZIm-'dIr
diklendiğin  dIk-len-dI-'GIn
diklendikçe  dIk-len-dIk-'tSe
diklenecektim  dIk-le-ne-dZek-'tIm
diklenmemiş  dIk-len-me-'mIS
dikmekten  dIk-mek-'ten
dikmiyoruz  dIk-mI-Zo-'ruz
diktikçe  dIk-tIk-'tSe
diktirmiyor  dIk-tIr-mI-'Zor
diledikten  dI-le-dIk-'ten
dilemeliydi  dI-le-me-lIZ-'dI
dilendirilmediği  dI-len-dI-rIl-me-dI-'GI
dilenmeyeceğiz  dI-len-me-Ze-dZe-'GIz
dileyebilirsiniz  dI-le-Ze-bI-lIr-sI-'nIz
dilimimizde  dI-lI-mI-mIz-'de
dilindekinin  dI-lIn-de-kI-'nIn
dilindendir  dI-lIn-den-'dIr
dillendirdiğimi  dIl-len-dIr-dI-GI-'mI
dillendirilemeyecek  dIl-len-dI-rI-le-me-Ze-'dZek
dillendirilmesinin  dIl-len-dI-rIl-me-sI-'nIn
dilliyle  dIl-lIZ-'le
dimağınıza  dI-ma-G@-n@-'za
dinamiğine  dI-na-mI-GI-'ne
dinamiğini  dI-na-mI-GI-'nI
dinamiklerle  dI-na-mIk-ler-'le
dinamitlemekle  dI-na-mIt-le-mek-'le
dincisi  dIn-dZI-'sI
dincisin  dIn-dZI-'sIn
dinçliklerini  dIntS-lIk-le-rI-'nI
dindim  dIn-'dIm
dindirebildiler  dIn-dI-re-bIl-dI-'ler
dindirebiliyor  dIn-dI-re-bI-lI-'Zor
dindirilemeyen  dIn-dI-rI-le-me-'Zen
dindirtmesin  dIn-dIrt-me-'sIn
dinimizden  dI-nI-mIz-'den
dinlediğimdir  dIn-le-dI-GIm-'dIr
dinlememek  dIn-le-me-'mek
dinlemeyeceğimiz  dIn-le-me-Ze-dZe-GI-'mIz
dinlemeyi  dIn-le-me-'ZI
dinlendirecektik  dIn-len-dI-re-dZek-'tIk
dinlendiremeden  dIn-len-dI-re-me-'den
dinlenebildiği  dIn-le-ne-bIl-dI-'GI
dinlenebileceğini  dIn-le-ne-bI-le-dZe-GI-'nI
dinlenemediler  dIn-le-ne-me-dI-'ler
dinlenilmez  dIn-le-nIl-'mez
dinlenmediğimiz  dIn-len-me-dI-GI-'mIz
dinlenmelerinin  dIn-len-me-le-rI-'nIn
dinlenmesinin  dIn-len-me-sI-'nIn
dinletebilirdi  dIn-le-te-bI-lIr-'dI
