à 'a functional
ç' 's 
ambiances a~-'bja~s 
ambiant a~-'bja~ 
ambiante a~-'bja~t 
ambiantes a~-'bja~t 
ambiants a~-'bja~ 
ambidextre a~-bi-dE-'kstR@ 
ambigu a~-bi-'gy 
ambiguë a~-bi-'gy 
ambigue a~-'big 
ambigues a~-'big 
ambiguite a~-bi-'git 
ambiguites a~-bi-'git 
ambigus a~-bi-'gy 
ambiguës a~-bi-'gy 
ambiguïté a~-bi-gHi-'te 
ambiguïtés a~-bi-gHi-'te 
ambitieuse a~-bi-'sj9z 
ambitieuses a~-bi-'sj9z 
ambitieux a~-bi-'sj@ 
ambition a~-bi-'sjo~ 
ambitionné a~-bi-sj0-'ne 
ambitionnaient a~-bi-sj0-'nE 
ambitionnait a~-bi-sj0-'nE 
ambitionnant a~-bi-sj0-'na~ 
ambitionne a~-bi-'sj0n 
ambitionnent a~-bi-'sj0n 
ambitionner a~-bi-sj0-'ne 
ambitionnons a~-bi-sj0-'no~ 
ambitions a~-bi-'sjo~ 
ambivalence a~-bi-va-'la~s 
ambivalences a~-bi-va-'la~s 
ambivalent a~-bi-va-'la~ 
ambivalente a~-bi-va-'la~t 
ambivalentes a~-bi-va-'la~t 
ambivalents a~-bi-va-'la~ 
amble a~-'bl@ 
ambré a~-'bRe 
ambra a~-'bRa 
ambre a~-'bR@ 
ambrée a~-'bRe 
ambree a~-'bRi 
ambrees a~-'bRi 
ambrées a~-'bRe 
ambroise a~-'bRwaz 
ambroisie a~-bRwa-'zi 
ambulance a~-by-'la~s 
ambulances a~-by-'la~s 
ambulancier a~-by-la~-'sje 
ambulanciers a~-by-la~-'sje 
ambulant a~-by-'la~ 
ambulante a~-by-'la~t 
ambulantes a~-by-'la~t 
ambulants a~-by-'la~ 
ambulatoire a~-by-la-'twaR 
ambulatoires a~-by-la-'twaR 
amédée a-me-'de 
ame 'am 
amedee a-me-'de 
ameliora a-m@-lj0-'Ra 
amelioraient a-m@-lj0-RE-'a~ 
ameliorait a-m@-lj0-'RE 
ameliorant a-m@-lj0-'Ra~ 
amelioration a-m@-lj0-Ra-'sjo~ 
ameliorations a-m@-lj0-Ra-'sjo~ 
ameliore a-m@-'lj0R 
amelioree a-m@-lj0-'Ri 
ameliorees a-m@-lj0-'Ri 
ameliorent a-m@-lj0-'Ra~ 
ameliorer a-m@-lj0-'Re 
ameliorera a-m@-lj0-R@-'Ra 
amelioreraient a-m@-lj0-R@-RE-'a~ 
ameliorerait a-m@-lj0-R@-'RE 
amelioreront a-m@-lj0-R@-'Ro~ 
ameliores a-m@-'lj0R 
ameliorez a-m@-lj0-'Re 
ameliorons a-m@-lj0-'Ro~ 
amen a-'mEn 
amené a-m@-'ne 
amena a-m@-'na 
amenage a-m@-'naZ 
amenagea a-m@-na-'Za 
amenageait a-m@-na-'ZE 
amenageant a-m@-na-'Za~ 
amenagee a-m@-na-'Zi 
amenagees a-m@-na-'Zi 
amenagement a-m@-na-Z@-'ma~ 
amenagements a-m@-na-Z@-'ma~ 
amenagent a-m@-na-'Za~ 
amenager a-m@-na-'Ze 
amenagera a-m@-na-Z@-'Ra 
amenages a-m@-'naZ 
amenageur a-m@-na-'Z9R 
amenageurs a-m@-na-'Z9R 
amenaient a-m@-'nE 
amenais a-m@-'nE 
amenait a-m@-'nE 
amenant a-m@-'na~ 
amenas a-m@-'na 
amendé a-ma~-'de 
amendable a-ma~-da-'bl@ 
amendables a-ma~-da-'bl@ 
amendant a-ma~-'da~ 
amende a-'ma~d 
amendée a-ma~-'de 
amendee a-ma~-'di 
amendees a-ma~-'di 
amendement a-ma~-d@-'ma~ 
amendements a-ma~-d@-'ma~ 
amendent a-'ma~d 
amender a-ma~-'de 
amendes a-'ma~d 
amendées a-ma~-'de 
amendés a-ma~-'de 
amene a-'m@n 
amenée a-m@-'ne 
amenee a-m@-'ni 
amenees a-m@-'ni 
amenent a-m@-'na~ 
amener a-m@-'ne 
amenera a-m@-n@-'Ra 
ameneraient a-m@-n@-RE-'a~ 
amenerait a-m@-n@-'RE 
amenerent a-m@-n@-'Ra~ 
ameneront a-m@-n@-'Ro~ 
amenes a-'m@n 
amenées a-m@-'ne 
amenite a-m@-'nit 
amenites a-m@-'nit 
amenons a-m@-'no~ 
amenèrent a-m@-'nER 
amenés a-m@-'ne 
amenuisé a-m@-nHi-'ze 
amenuisaient a-m@-nHi-'zE 
amenuisait a-m@-nHi-'zE 
amenuisant a-m@-nHi-'za~ 
amenuise a-m@-'nHiz 
amenuisée a-m@-nHi-'ze 
amenuisee a-m@-nHi-'zi 
amenuisees a-m@-nHi-'zi 
amenuisent a-m@-'nHiz 
amenuiser a-m@-nHi-'ze 
amenuisera a-m@-nHi-z@-'Ra 
amenuisées a-m@-nHi-'ze 
amer a-'mER 
amere a-'m@R 
amerement a-m@-R@-'ma~ 
ameres a-'m@R 
america a-me-Ri-'ka 
americain a-m@-Ri-'ke~ 
americain a-m@-Ri-'ke~ 
americaine a-m@-Ri-'kEn 
americaine a-m@-Ri-'kEn 
americaines a-m@-Ri-'kEn 
americaines a-me-Ri-ka-i-'nEs 
americains a-m@-Ri-'ke~ 
americains a-m@-Ri-'ke~ 
american a-me-Ri-'kan 
americanisation a-m@-Ri-ka-ni-za-'sjo~ 
americanise a-m@-Ri-ka-'niz 
americanisee a-m@-Ri-ka-ni-'zi 
americanisees a-m@-Ri-ka-ni-'zi 
americaniser a-m@-Ri-ka-ni-'ze 
americanises a-m@-Ri-ka-'niz 
americanisme a-m@-Ri-ka-ni-'sm@ 
americanismes a-m@-Ri-ka-ni-'sm@ 
americium a-m@-Ri-'sj0m 
amerindien a-m@-Re~-'dje~ 
amerindienne a-m@-Re~-'djEn 
amerindiennes a-m@-Re~-'djEn 
amerindiens a-m@-Re~-'dje~ 
amerique a-m@-'Rik 
ameriques a-m@-'Rik 
amerrir a-mE-'RiR 
amers a-'mER 
amertume a-mER-'tym 
amertumes a-mER-'tym 
ames 'am 
amethyste a-m@-tis-'t@ 
amethystes a-m@-tis-'t@ 
ameublement a-m9b-l@-'ma~ 
ameuté a-m@-'te 
ameute a-'m9t 
ameutent a-'m9t 
ameuter a-m@-'te 
amharique a-ma-'Rik 
ami a-'mi 
amiable a-mja-'bl@ 
amiables a-mja-'bl@ 
amiante a-'mja~t 
amibe a-'mib 
amibes a-'mib 
amical a-mi-'kal 
amicale a-mi-'kal 
amicalement a-mi-ka-l@-'ma~ 
amicales a-mi-'kal 
amicaux a-mi-'ko 
amidon a-mi-'do~ 
amidonné a-mi-d0-'ne 
amidonne a-mi-'d0n 
amidonnée a-mi-d0-'ne 
amidonnee a-mi-d0-'ni 
amidonnees a-mi-d0-'ni 
amidonnes a-mi-'d0n 
amidonnées a-mi-d0-'ne 
amidonnés a-mi-d0-'ne 
amie a-'mi 
amiens a-'mje~ 
amies a-'mi 
aminé a-mi-'ne 
aminci a-me~-'si 
amincie a-me~-'si 
amincir a-me~-'siR 
amincissant a-me~-si-'sa~ 
amine a-'min 
amine a-'min 
amines a-'min 
aminés a-mi-'ne 
amiral a-mi-'Ral 
amirauté a-mi-Ro-'te 
amiraute a-mi-'Rot 
amiraux a-mi-'Ro 
amis a-'mi 
amitié a-mi-'tje 
amitie a-mi-'si 
amities a-mi-'si 
amitiés a-mi-'tje 
amélioré a-me-lj0-'Re 
améliora a-me-lj0-'Ra 
amélioraient a-me-lj0-'RE 
améliorait a-me-lj0-'RE 
améliorant a-me-lj0-'Ra~ 
amélioration a-me-lj0-Ra-'sjo~ 
améliorations a-me-lj0-Ra-'sjo~ 
améliore a-me-'lj0R 
améliorée a-me-lj0-'Re 
améliorent a-me-'lj0R 
améliorer a-me-lj0-'Re 
améliorera a-me-lj0-R@-'Ra 
amélioreraient a-me-lj0-R@-'RE 
améliorerait a-me-lj0-R@-'RE 
amélioreront a-me-lj0-R@-'Ro~ 
améliorées a-me-lj0-'Re 
améliorez a-me-lj0-'Re 
améliorons a-me-lj0-'Ro~ 
améliorés a-me-lj0-'Re 
amman a-'man 
ammoniac a-m0n-'jak 
ammoniaque a-m0n-'jak 
ammonium a-m0n-'j0m 
aménagé a-me-na-'Ze 
aménage a-me-'naZ 
aménagée a-me-na-'Ze 
aménagea a-me-na-'Za 
aménageait a-me-na-'ZE 
aménageant a-me-na-'Za~ 
aménagement a-me-na-Z@-'ma~ 
aménagements a-me-na-Z@-'ma~ 
aménagent a-me-'naZ 
aménager a-me-na-'Ze 
aménagera a-me-na-Z@-'Ra 
aménagées a-me-na-'Ze 
aménageur a-me-na-'Z9R 
aménageurs a-me-na-'Z9R 
aménagés a-me-na-'Ze 
amène a-'mEn 
amènent a-'mEn 
amènera a-mE-n@-'Ra 
amèneraient a-mE-n@-'RE 
amènerait a-mE-n@-'RE 
amèneront a-mE-n@-'Ro~ 
amènes a-'mEn 
amnesie a-mn@-'zi 
amnesies a-mn@-'zi 
amnesique a-mn@-'zik 
amnesiques a-mn@-'zik 
amnesty a-mnEs-'ti 
amniotique a-mnj0-'tik 
amnistié a-mnis-'tje 
amnistiable a-mnis-tja-'bl@ 
amnistiables a-mnis-tja-'bl@ 
amnistiait a-mnis-'tjE 
amnistiant a-mnis-'tja~ 
amnistie a-mnis-'ti 
amnistiée a-mnis-'tje 
amnistiee a-mnis-ti-'i 
amnistiees a-mnis-ti-'i 
amnistient a-mnis-'ti 
amnistier a-mnis-'tje 
amnisties a-mnis-'ti 
amnistiées a-mnis-'tje 
amnistiés a-mnis-'tje 
aménité a-me-ni-'te 
aménités a-me-ni-'te 
amnésie a-mne-'zi 
amnésies a-mne-'zi 
amnésique a-mne-'zik 
amnésiques a-mne-'zik 
amoindri a-mwe~-'dRi 
amoindrie a-mwe~-'dRi 
amoindries a-mwe~-'dRi 
amoindrir a-mwe~-'dRiR 
amoindris a-mwe~-'dRi 
amoindrissement a-mwe~-dRi-s@-'ma~ 
amoindrissent a-mwe~-'dRis 
amoindrit a-mwe~-'dRi 
amok a-'m0k 
amolli a-m0-'li 
amollie a-m0-'li 
amollir a-m0-'liR 
amollis a-m0-'li 
amollit a-m0-'li 
amoncelaient a-mo~-s@-'lE 
amoncelees a-mo~-s@-'li 
amonceler a-mo~-s@-'le 
amonceles a-mo~-'s@l 
amoncelées a-mo~-s@-'le 
amoncelle a-mo~-'sEl 
amoncellement a-mo~-sE-l@-'ma~ 
amoncellements a-mo~-sE-l@-'ma~ 
amoncellent a-mo~-'sEl 
amoncelés a-mo~-s@-'le 
amont a-'mo~ 
amorça a-m0R-'sa 
amorçage a-m0R-'saZ 
amorçaient a-m0R-'sE 
amorçait a-m0R-'sE 
amoral a-m0-'Ral 
amorale a-m0-'Ral 
amorales a-m0-'Ral 
amoralisme a-m0-Ra-li-'sm@ 
amorçant a-m0R-'sa~ 
amoraux a-m0-'Ro 
amorcé a-m0R-'se 
amorca a-m0R-'ka 
amorcage a-m0R-'kaZ 
amorcaient a-m0R-kE-'a~ 
amorcait a-m0R-'kE 
amorcant a-m0R-'ka~ 
amorce a-m0R-'s@ 
amorcée a-m0R-'se 
amorcee a-m0R-'si 
amorcees a-m0R-'si 
amorcent a-m0R-'s@ 
amorcer a-m0R-'se 
amorcera a-m0R-s@-'Ra 
amorceraient a-m0R-s@-'RE 
amorcerait a-m0R-s@-'RE 
amorcerent a-m0R-s@-'Ra~ 
amorces a-m0R-'s@ 
amorcées a-m0R-'se 
amorcons a-m0R-'ko~ 
amorcèrent a-m0R-'sER 
amorcés a-m0R-'se 
amorim a-mo-'Rim 
amorçons a-m0R-'so~ 
amorphe a-'m0Rf 
amorphes a-'m0Rf 
amorti a-m0R-'ti 
amortie a-m0R-'si 
amorties a-m0R-'si 
amortir a-m0R-'tiR 
amortira a-m0R-ti-'Ra 
amortis a-m0R-'ti 
amortissant a-m0R-ti-'sa~ 
amortissement a-m0R-ti-s@-'ma~ 
amortissements a-m0R-ti-s@-'ma~ 
amortissent a-m0R-'tis 
amortisseur a-m0R-ti-'s9R 
amortisseurs a-m0R-ti-'s9R 
amortit a-m0R-'ti 
amour a-'muR 
amour a-'muR 
amourette a-mu-'REt 
amourettes a-mu-'REt 
amoureuse a-mu-'R9z 
amoureusement a-mu-R9-z@-'ma~ 
amoureuses a-mu-'R9z 
amoureux a-mu-'R@ 
amour-propre a-muR-pR0p-'R@ 
amours a-'muR 
amovible a-m0-vi-'bl@ 
amovibles a-m0-vi-'bl@ 
amperes a~-'p@R 
amphetamine a~-f@-ta-'min 
amphetamines a~-f@-ta-'min 
amphi a~-'fi 
amphibie a~-fi-'bi 
amphibien a~-fi-'bje~ 
amphibiens a~-fi-'bje~ 
amphibies a~-fi-'bi 
amphigouri a~-fi-gu-'Ri 
amphis a~-'fi 
amphitheatre a~-fi-ta-'tR@ 
amphitheatres a~-fi-ta-'tR@ 
amphithéâtre a~-fi-te-a-'tR@ 
amphithéâtres a~-fi-te-a-'tR@ 
amphitryon a~-fi-tRi-'jo~ 
amphitryons a~-fi-tRi-'jo~ 
amphore a~-'f0R 
amphores a~-'f0R 
amphétamine a~-fe-ta-'min 
amphétamines a~-fe-ta-'min 
ample a~-'pl@ 
amplement a~-pl@-'ma~ 
amples a~-'pl@ 
ampleur a~-'pl9R 
ampli a~-'pli 
amplifié a~-pli-'fje 
amplifia a~-pli-'fja 
amplifiaient a~-pli-'fjE 
amplifiait a~-pli-'fjE 
amplifiant a~-pli-'fja~ 
amplification a~-pli-fi-ka-'sjo~ 
amplifications a~-pli-fi-ka-'sjo~ 
amplifie a~-pli-'fi 
amplifiée a~-pli-'fje 
amplifiee a~-pli-'fji 
amplifiees a~-pli-'fji 
amplifient a~-pli-'fi 
amplifier a~-pli-'fje 
amplifiera a~-pli-fi-'Ra 
amplifierait a~-pli-fi-'RE 
amplifierent a~-pli-fi-'Ra~ 
amplifieront a~-pli-fi-'Ro~ 
amplifies a~-pli-'fi 
amplifiées a~-pli-'fje 
amplifièrent a~-pli-'fjER 
amplifiés a~-pli-'fje 
amplis a~-'pli 
amplitude a~-pli-'tyd 
amplitudes a~-pli-'tyd 
ampoulé a~-pu-'le 
ampoule a~-'pul 
ampoulée a~-pu-'le 
ampoulee a~-pu-'li 
ampoulees a~-pu-'li 
ampoules a~-'pul 
ampoulées a~-pu-'le 
ampoulés a~-pu-'le 
ampères a~-'pER 
amputé a~-py-'te 
amputant a~-py-'ta~ 
amputation a~-py-ta-'sjo~ 
amputations a~-py-ta-'sjo~ 
ampute a~-'pyt 
amputée a~-py-'te 
amputee a~-py-'ti 
amputees a~-py-'ti 
amputent a~-'pyt 
amputer a~-py-'te 
amputera a~-py-t@-'Ra 
amputerait a~-py-t@-'RE 
amputeront a~-py-t@-'Ro~ 
amputes a~-'pyt 
amputées a~-py-'te 
amputés a~-py-'te 
amère a-'mER 
amèrement a-mE-R@-'ma~ 
amères a-'mER 
américain a-me-Ri-'ke~ 
américain a-me-Ri-'ke~ 
américaine a-me-Ri-'kEn 
américaine a-me-Ri-'kEn 
américaines a-me-Ri-'kEn 
américaines a-me-Ri-'kEn 
américains a-me-Ri-'ke~ 
américains a-me-Ri-'ke~ 
américanisé a-me-Ri-ka-ni-'ze 
américanisation a-me-Ri-ka-ni-za-'sjo~ 
américanise a-me-Ri-ka-'niz 
américanisée a-me-Ri-ka-ni-'ze 
américaniser a-me-Ri-ka-ni-'ze 
américanisées a-me-Ri-ka-ni-'ze 
américanisme a-me-Ri-ka-ni-'sm@ 
américanismes a-me-Ri-ka-ni-'sm@ 
américanisés a-me-Ri-ka-ni-'ze 
américium a-me-Ri-'sj0m 
amérindien a-me-Re~-'dje~ 
amérindienne a-me-Re~-'djEn 
amérindiennes a-me-Re~-'djEn 
amérindiens a-me-Re~-'dje~ 
amérique a-me-'Rik 
amériques a-me-'Rik 
amsallem am-sa-'lEm 
amsterdam ams-tER-'dam 
améthyste a-me-tis-'t@ 
améthystes a-me-tis-'t@ 
amulette a-my-'lEt 
amulettes a-my-'lEt 
amusé a-my-'ze 
amusa a-my-'za 
amusaient a-my-'zE 
amusais a-my-'zE 
amusait a-my-'zE 
amusant a-my-'za~ 
amusante a-my-'za~t 
amusantes a-my-'za~t 
amusants a-my-'za~ 
amuse a-'myz 
amusée a-my-'ze 
amusee a-my-'zi 
amusees a-my-'zi 
amuse-gueule a-my-z@-'g9l 
amuse-gueules a-my-z@-'g9l 
amusement a-my-z@-'ma~ 
amusements a-my-z@-'ma~ 
amusent a-'myz 
amuser a-my-'ze 
amusera a-my-z@-'Ra 
amuseraient a-my-z@-'RE 
amuserait a-my-z@-'RE 
amuserent a-my-z@-'Ra~ 
amuseront a-my-z@-'Ro~ 
amuses a-'myz 
amusées a-my-'ze 
amuseur a-my-'z9R 
amuseurs a-my-'z9R 
amusez a-my-'ze 
amusons a-my-'zo~ 
amusèrent a-my-'zER 
amusés a-my-'ze 
amygdales a-mi-'gdal 
an 'a~ 
aîné E-'ne 
ana a-'na 
anabaptistes a-na-ba-tis-'t@ 
anabolisant a-na-b0-li-'za~ 
anabolisantes a-na-b0-li-'za~t 
anabolisants a-na-b0-li-'za~ 
anabta a-na-'bta 
anachorete a-na-k0-'R@t 
anachoretes a-na-k0-'R@t 
anachorète a-na-k0-'REt 
anachorètes a-na-k0-'REt 
anachronique a-na-kR0-'nik 
anachroniques a-na-kR0-'nik 
anachronisme a-na-kR0-ni-'sm@ 
anachronismes a-na-kR0-ni-'sm@ 
anaconda a-na-ko~-'da 
anagramme a-na-'gRam 
anagrammes a-na-'gRam 
anal a-'nal 
anale a-'nal 
analgesique a-nal-Z@-'zik 
analgesiques a-nal-Z@-'zik 
analgésique a-nal-Ze-'zik 
analgésiques a-nal-Ze-'zik 
analogie a-na-l0-'Zi 
analogies a-na-l0-'Zi 
analogique a-na-l0-'Zik 
analogiques a-na-l0-'Zik 
analogue a-na-'l0g 
analogues a-na-'l0g 
analphabete a-nal-fa-'b@t 
analphabetes a-nal-fa-'b@t 
analphabetisme a-nal-fa-b@-ti-'sm@ 
analphabète a-nal-fa-'bEt 
analphabètes a-nal-fa-'bEt 
analphabétisme a-nal-fa-be-ti-'sm@ 
analysé a-na-li-'ze 
analysa a-na-li-'za 
analysaient a-na-li-'zE 
analysait a-na-li-'zE 
analysant a-na-li-'za~ 
analyse a-na-'liz 
analysée a-na-li-'ze 
analysee a-na-li-'zi 
analysees a-na-li-'zi 
analysent a-na-'liz 
analyser a-na-li-'ze 
analysera a-na-li-z@-'Ra 
analyseront a-na-li-z@-'Ro~ 
analyses a-na-'liz 
analysées a-na-li-'ze 
analyseur a-na-li-'z9R 
analyseurs a-na-li-'z9R 
analysez a-na-li-'ze 
analysons a-na-li-'zo~ 
analysés a-na-li-'ze 
analyste a-na-lis-'t@ 
analystes a-na-lis-'t@ 
analytique a-na-li-'tik 
analytiques a-na-li-'tik 
anamorphose a-na-m0R-'foz 
anamorphoses a-na-m0R-'foz 
ananas a-na-'nas 
anéanti a-ne-a~-'ti 
anéantie a-ne-a~-'ti 
anéanties a-ne-a~-'ti 
anéantir a-ne-a~-'tiR 
anéantira a-ne-a~-ti-'Ra 
anéantirait a-ne-a~-ti-'RE 
anéantis a-ne-a~-'ti 
anéantissait a-ne-a~-ti-'sE 
anéantissant a-ne-a~-ti-'sa~ 
anéantisse a-ne-a~-'tis 
anéantissement a-ne-a~-ti-s@-'ma~ 
anéantissent a-ne-a~-'tis 
anéantit a-ne-a~-'ti 
anar a-'naR 
anarchie a-na-'RSi 
anarchique a-na-'RSik 
anarchiques a-na-'RSik 
anarchisme a-na-RSi-'sm@ 
anarchiste a-na-RSis-'t@ 
anarchistes a-na-RSis-'t@ 
anarcho-syndicaliste a-naR-ko-se~-di-ka-lis-'t@ 
anarcho-syndicalistes a-naR-ko-se~-di-ka-lis-'t@ 
anars a-'naR 
anas a-'nas 
anatheme a-na-'t@m 
anathemes a-na-'t@m 
anathème a-na-'tEm 
anathèmes a-na-'tEm 
anatoli a-na-to-'li 
anatolie a-na-t0-'li 
anatoly a-na-t0-'li 
anatomie a-na-t0-'mi 
anatomies a-na-t0-'mi 
anatomique a-na-t0-'mik 
anatomiques a-na-t0-'mik 
anatomiste a-na-t0-mis-'t@ 
anatomistes a-na-t0-mis-'t@ 
anc a-En-'se 
ancestral a~-sEs-'tRal 
ancestrale a~-sEs-'tRal 
ancestrales a~-sEs-'tRal 
ancestraux a~-sEs-'tRo 
ancetre a~-s@-'tR@ 
ancetres a~-s@-'tR@ 
anche 'a~S 
anches 'a~S 
anchois a~-'Swa 
ancien a~-'sje~ 
ancienne a~-'sjEn 
anciennement a~-sjE-n@-'ma~ 
anciennes a~-'sjEn 
ancienneté a~-sjE-n@-'te 
anciennete a~-sjE-'n@t 
anciennetes a~-sjE-'n@t 
anciennetés a~-sjE-n@-'te 
anciens a~-'sje~ 
ancolie a~-k0-'li 
ancré a~-'kRe 
ancrage a~-'kRaZ 
ancrages a~-'kRaZ 
ancraient a~-'kRE 
ancrait a~-'kRE 
ancrant a~-'kRa~ 
ancre 'a~kR 
ancrée a~-'kRe 
ancree a~-'kRi 
ancrees a~-'kRi 
ancrent 'a~kR 
ancrer a~-'kRe 
ancrerait a~-kR@-'RE 
ancrerent a~-kR@-'Ra~ 
ancres 'a~kR 
ancrées a~-'kRe 
ancrèrent a~-'kRER 
ancrés a~-'kRe 
ancêtre a~-sE-'tR@ 
ancêtres a~-sE-'tR@ 
andalou a~-da-'lu 
andalous a~-da-'lu 
andalouse a~-da-'luz 
andalouses a~-da-'luz 
andalousie a~-da-lu-'zi 
andante a~n-da~n-'te 
anderson an-dE-'Rs0n 
andersson an-dE-'Rs0n 
andes 'a~d 
andin a~-'de~ 
andine a~-'din 
andines a~-'din 
andins a~-'de~ 
andorre a~-d0-'Re 
andouille a~-'duj 
andouilles a~-'duj 
andouillette a~-du-'jEt 
andouillettes a~-du-'jEt 
andré a~-'dRe 
andréas a~-dRe-'as 
andre a~-'dRe 
andrée a~-'dRe 
andreï a~-dRe-'i 
andrea a~-dRe-'a 
andreas a~-dRe-'as 
andree an-'dRi 
andrei a~-'dRe 
andreotti a~-dRe-o-'ti 
andres a~-'dRe 
andrew an-'dRu 
andrieux a~-dRi-'j@ 
androïdes a~-dR0-'id 
androgyne a~-dR0-'Zin 
androgynes a~-dR0-'Zin 
androides a~-'dRwad 
andrzej a~-'dREZ 
ane 'an 
aînée E-'ne 
aneanti a-na~-'ti 
aneantie a-na~-'si 
aneanties a-na~-'si 
aneantir a-na~-'tiR 
aneantira a-na~-ti-'Ra 
aneantirait a-na~-ti-'RE 
aneantis a-na~-'ti 
aneantissait a-na~-ti-'sE 
aneantissant a-na~-ti-'sa~ 
aneantisse a-na~-'tis 
aneantissement a-na~-ti-s@-'ma~ 
aneantissent a-na~-ti-'sa~ 
aneantit a-na~-'ti 
anecdote a-nE-'kd0t 
anecdotes a-nE-'kd0t 
anecdotique a-nE-kd0-'tik 
anecdotiques a-nE-kd0-'tik 
anemie a-n@-'mi 
anemiee a-n@-'mji 
anemiees a-n@-'mji 
anemier a-n@-'mje 
anemies a-n@-'mi 
anemique a-n@-'mik 
anemiques a-n@-'mik 
anemone a-n@-'m0n 
anemones a-n@-'m0n 
anerie a-n@-'Ri 
aneries a-n@-'Ri 
anes 'an 
aînées E-'ne 
anesse a-'nEs 
aînesse E-'nEs 
anesthesiant a-nEs-t@-'zja~ 
anesthesiante a-nEs-t@-'zja~t 
anesthesiants a-nEs-t@-'zja~ 
anesthesie a-nEs-t@-'zi 
anesthesiee a-nEs-t@-'zji 
anesthesiees a-nEs-t@-'zji 
anesthesier a-nEs-t@-'zje 
anesthesies a-nEs-t@-'zi 
anesthesique a-nEs-t@-'zik 
anesthesiques a-nEs-t@-'zik 
anesthésié a-nEs-te-'zje 
anesthésiant a-nEs-te-'zja~ 
anesthésiante a-nEs-te-'zja~t 
anesthésiants a-nEs-te-'zja~ 
anesthésie a-nEs-te-'zi 
anesthésiée a-nEs-te-'zje 
anesthésier a-nEs-te-'zje 
anesthésies a-nEs-te-'zi 
anesthésiées a-nEs-te-'zje 
anesthésique a-nEs-te-'zik 
anesthésiques a-nEs-te-'zik 
anesthésiés a-nEs-te-'zje 
aneth a-'nEt 
anevrisme a-n@-vRi-'sm@ 
anfractuosité a~-fRa-kty-0-zi-'te 
anfractuosite a~-fRa-kty-0-'zit 
anfractuosites a~-fRa-kty-0-'zit 
anfractuosités a~-fRa-kty-0-zi-'te 
ange 'a~Z 
ange 'a~Z 
angel a~-'ZEl 
angela a~-Ze-'la 
angele a~-Ze-'le 
angeles a~-Z@-'lEs 
angelique a~-Z@-'lik 
angelique a~-Z@-'lik 
angeliques a~-Z@-'lik 
angelisme a~-Z@-li-'sm@ 
angelo a~-Ze-'lo 
angelot a~-Z@-'lo 
angelots a~-Z@-'lo 
angelus a~-Z@-'ly 
angers a~-'Ze 
anges 'a~Z 
angevin a~-Z@-'ve~ 
angevine a~-Z@-'vin 
angevines a~-Z@-'vin 
angevins a~-Z@-'ve~ 
angine a~-'Zin 
angines a~-'Zin 
angiospermes a~-Zj0s-pE-'Rm@ 
anglais a~-'glE 
anglais a~-'glE 
anglaise a~-'glEz 
anglaise a~-'glEz 
anglaises a~-'glEz 
anglaises a~-'glEz 
angle a~-'gl@ 
angèle a~-'ZEl 
angles a~-'gl@ 
anglet a~-'glE 
angleterre a~-gl@-'tER 
anglican a~-gli-'ka~ 
anglicane a~-gli-'kan 
anglicanes a~-gli-'kan 
anglicanisme a~-gli-ka-ni-'sm@ 
anglicans a~-gli-'ka~ 
anglicisme a~-gli-si-'sm@ 
anglicismes a~-gli-si-'sm@ 
angliciste a~-gli-sis-'t@ 
anglicistes a~-gli-sis-'t@ 
angélique a~-Ze-'lik 
angélique a~-Ze-'lik 
angéliques a~-Ze-'lik 
angélisme a~-Ze-li-'sm@ 
anglophile a~-gl0-'fil 
anglophiles a~-gl0-'fil 
anglophone a~-gl0-'f0n 
anglophones a~-gl0-'f0n 
anglo-saxon a~-glo-sa-'kso~ 
anglo-saxons a~-glo-sa-'kso~ 
angélus a~-Ze-'lys 
angoissé a~-gwa-'se 
angoissait a~-gwa-'sE 
angoissant a~-gwa-'sa~ 
angoissante a~-gwa-'sa~t 
angoissantes a~-gwa-'sa~t 
angoissants a~-gwa-'sa~ 
angoisse a~-'gwas 
angoissée a~-gwa-'se 
angoissee a~-gwa-'si 
angoissees a~-gwa-'si 
angoissent a~-'gwas 
angoisser a~-gwa-'se 
angoisses a~-'gwas 
angoissées a~-gwa-'se 
angoissés a~-gwa-'se 
angola a~-go-'la 
angolais a~-g0-'lE 
angolaise a~-g0-'lEz 
angolaises a~-g0-'lEz 
angora a~-g0-'Ra 
angoras a~-g0-'Ra 
angouleme a~-gu-'l@m 
angoulême a~-gu-'lEm 
anguille a~-'gij 
anguilles a~-'gij 
angulaire a~-gy-'lER 
angulaires a~-gy-'lER 
anguleuse a~-gy-'l9z 
anguleuses a~-gy-'l9z 
anguleux a~-gy-'l@ 
anhydride a-ni-'dRid 
anibal a-ni-'bal 
anicet a-ni-'sE 
anicroche a-ni-'kR0S 
anicroches a-ni-'kR0S 
animé a-ni-'me 
anima a-ni-'ma 
animaient a-ni-'mE 
animait a-ni-'mE 
animal a-ni-'mal 
animalcules a-ni-mal-'kyl 
animale a-ni-'mal 
animalerie a-ni-ma-l@-'Ri 
animaleries a-ni-ma-l@-'Ri 
animales a-ni-'mal 
animalier a-ni-ma-'lje 
animaliere a-ni-ma-'liR 
animalieres a-ni-ma-'liR 
animaliers a-ni-ma-'lje 
animalière a-ni-ma-'ljER 
animalières a-ni-ma-'ljER 
animant a-ni-'ma~ 
animateur a-ni-ma-'t9R 
animateurs a-ni-ma-'t9R 
animation a-ni-ma-'sjo~ 
animations a-ni-ma-'sjo~ 
animatrice a-ni-ma-'tRis 
